TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
0000,14471,87482X10,20FEB2014,31AUG2016,1
0001,14392,26878510,20FEB2014,31DEC2018,1
0001,,,20JUN2019,,6
0004,14418,02504D10,20FEB2014,24AUG2018,1
000R,14378,14163310,20FEB2014,31DEC2018,1
000V,14423,15117E10,20MAR2014,22MAR2016,1
000V,14423,28249U10,14APR2016,31DEC2018,1
000Y,14436,90400D10,20MAR2014,31DEC2018,1
000Z,14449,09072V10,20MAR2014,28SEP2016,1
000Z,14449,09072V20,20OCT2016,09JUL2018,1
000Z,14449,09072V40,19JUL2018,31DEC2018,1
0011,14416,G0702110,20MAR2014,10DEC2015,1
0011,14416,G0702112,14JAN2016,01FEB2016,1
0011,,,18FEB2016,30APR2019,6
0017,14448,05211J10,20MAR2014,04MAY2015,1
0018,14455,28226B10,20MAR2014,18SEP2018,1
0018,,,15NOV2018,,6
001A,14452,28622110,20MAR2014,16MAY2018,1
001A,14452,81776310,17MAY2018,31DEC2018,1
001C,14447,04022110,20MAR2014,17JAN2018,1
001C,14447,04022120,19JAN2018,24APR2018,1
001C,,,20DEC2018,,6
001J,14487,49926D10,20MAR2014,31DEC2018,1
001K,14479,45780R10,20MAR2014,31DEC2018,1
001L,14451,20602210,20MAR2014,31DEC2018,1
001M,14459,45780L10,20MAR2014,31DEC2018,1
001N,14504,22265J10,20MAR2014,20OCT2015,1
001N,14504,74911910,19NOV2015,31DEC2018,1
001R,12962,12640Y20,20MAR2014,12AUG2015,1
001X,14550,75629F10,20MAR2014,31DEC2018,1
001Z,14524,G5258J10,17APR2014,22FEB2016,1
002B,,,17APR2014,31DEC2018,6
002G,14502,14862Q10,17APR2014,31DEC2018,1
002J,14547,70438V10,17APR2014,31DEC2018,1
002L,14499,02318Y10,17APR2014,31DEC2018,1
002P,14495,00212110,17APR2014,31DEC2018,1
002S,14574,60786M10,15MAY2014,31DEC2018,1
002T,14503,14987J10,15MAY2014,19NOV2014,1
002T,14503,69007J10,20NOV2014,31DEC2018,1
002U,14616,94859610,15MAY2014,31DEC2018,1
002Y,14527,G6583A10,15MAY2014,01SEP2017,1
0031,14594,21887L10,15MAY2014,26NOV2018,1
0033,14578,68375Y10,15MAY2014,13JUN2016,1
0039,14573,50420D10,15MAY2014,30MAY2018,1
003A,14589,00548A10,15MAY2014,31DEC2018,1
003D,14500,09627J10,15MAY2014,31DEC2018,1
003E,14566,31154R10,15MAY2014,31DEC2018,1
003F,14612,89685A10,15MAY2014,03FEB2016,1
003G,14615,92847R10,15MAY2014,31DEC2018,1
003G,,,18APR2019,,6
003H,14579,70432V10,15MAY2014,31DEC2018,1
003J,14559,17858710,15MAY2014,31DEC2018,1
003K,14603,71742Q10,15MAY2014,31DEC2018,1
0040,14595,G5559810,19JUN2014,08NOV2017,1
0040,,,16NOV2017,,6
0041,14608,78573M10,19JUN2014,31DEC2018,1
0042,14642,Y2106R11,19JUN2014,31DEC2018,1
0044,14669,Y8213L10,19JUN2014,01DEC2016,1
0045,14634,70187710,19JUN2014,31DEC2018,1
004F,14617,04014Y10,19JUN2014,25NOV2018,1
004F,14617,03990B10,20DEC2018,31DEC2018,1
004M,14618,16307510,19JUN2014,31DEC2018,1
004V,14676,89977P10,19JUN2014,31DEC2018,1
004W,14714,04041310,19JUN2014,31DEC2018,1
0051,14641,98936J10,19JUN2014,31DEC2018,1
0055,14677,89785L10,19JUN2014,31DEC2018,1
005H,14625,42727J10,19JUN2014,31DEC2018,1
005I,14645,00847L10,19JUN2014,31DEC2018,1
006E,,,17JUL2014,14NOV2017,6
006J,14697,60739U20,17JUL2014,31DEC2018,1
006K,14687,G0034910,17JUL2014,02JUN2016,1
006K,14687,G0751N10,16JUN2016,31DEC2018,1
006M,14715,04523Y10,17JUL2014,31DEC2018,1
006Q,14756,Y6366T11,17JUL2014,26SEP2016,1
006Q,14756,G6577210,20OCT2016,31DEC2018,1
006Q,,,14FEB2019,,6
006V,14706,Q7362210,17JUL2014,30DEC2016,1
006V,,,19JAN2017,,6
006W,14716,15650430,17JUL2014,31DEC2018,1
